chunk_id,window_start,window_end,text,0ld_binary_hit,confidence,binary_hit
10,0:20:00,0:22:00,"[20:00–20:30]
for a law with such serious implications. There was nothing surprising about Trustee Kazella's
praise of the resolution or Trustee Calhoun's framing it as a gift to parents. I actually
appreciated Trustee Teamy's concern about how this law might harm teacher-student relationships. But
what struck me the most was the lack of feedback from the rest of you, a quiet, reluctant
acknowledgement that KDISD must comply. Yes, you have to follow the law, but students, parents, and
staff are watching, hoping to hear even a hint of

[20:30–21:00]
concern, something to acknowledge our fear, anger, and uncertainty about what this law will bring to
our district. Two years ago, three of you stood firmly on principle and beliefs that all students
deserve to feel safe in our schools. You voted against a local policy that's less harmful than this
law. Where is that fight for students now? I'm not asking you to break the law, but you can choose
not to celebrate it. You can ask hard questions publicly, like, how does a law that restricts clubs
supporting marginalized students make our schools

[21:30–22:00]
safer? And how does that not violate equal access or other constitutional protections? How does
banning chosen names and pronouns, even with parental permission, uphold parental rights? And what
part of S B 12 prohibits that accommodation? How does prohibiting diversity, equity, and inclusion
efforts help address undeniable disparities in student discipline and academic outcomes? LGBT
students, staff, and families will feel the effects of S B 12 first, but they will not be the last.
This resolution may pass.",0,5,0
11,0:22:00,0:24:00,"[22:00–22:30]
but our community needs to know that you see the harm, you don't support it, and you're willing to
stand with us as we try to push back in every way we can. There are community partners like Katie
Pride who support, affirm, and uplift LGBTQ students and families. We would welcome the opportunity
to work with any of you to help find creative, legally compliant ways all students, families, and
staff members in KDISD can feel seen, safe, and supported. Please consider our concerns. Thank you.

[22:30–23:00]
My name is Marshall Romero, and I attend Aleaf Riley College High School in Aleaf, a school district
just outside of this one. I speak to you in firm opposition to agenda item nine point one or their
interpretation of Senate Bill twelve. Though I don't reside in KDISD, many of my peers, friends,
close friends, and loved ones do, many of which happen to be of gay, lesbian, queer, or gender
expansive experience.

[23:00–23:30]
I'm speaking today on behalf of all the people, more importantly, kids and students who will be imp
directly impacted by this board's compliance to the cesspool of anti trans, gay, and anti inclusive
rhetoric being championed in our state's legislature right now. Before I begin, I want to preface
that not that long ago, KDISD had an election that resulted in board members that uphold the
diversity and inclusion KDISD has being elected. And if you choose to pass today's resolution, you
will detriment the same people who trusted you to protect the students who love differently or
express themselves uniquely. Texas public schools should be a place where transgender, gay, and
children of color.

[23:30–24:00]
should be uplifted and celebrated to express their unique backgrounds. KDISD is a diverse district,
and make no mistake, none of the students in your district want you to continue allowing Texas
extremists to limit and mitigate critical discussions and freedom of expressions in KD public
schools. Senate Bill 12 will effectively allow transgender students to be harmed, crackdowns on safe
spaces for kids, and ultimately limit the freedoms of Texas students. You have the choice to protect
your students tonight, or allow fascism to seep into your district. Vote no on this resolution and
allow for weak enforcement of this ignorant policy. If you can hint",0,5,0
12,0:24:00,0:26:00,"[24:00–24:30]
If you can hinder queer students like you have done in the past, then you can just as well protect
them. Make your choice. Thank you. Jesus Nieto, followed by Heather Toleson. Can you hear me? Okay.
Good afternoon. Sorry, I'm pretty tall. Good afternoon, Superintendent, members of the board, and
the KDISD community. My name is Jesus Nieto. I am a community organizer, member of Katie Pride.

[24:30–25:00]
a member of Students Engage in Advancing Texas. I'm here today to stand firm in opposition of Agenda
Item 9.1, a resolution that was presented by the very own superintendent of the school district that
essentially doubled down on the harmful policies that have been passed in the Texas legislature
during the regular session. Members, this resolution is not necessary. This is what overcompliance
looks like. Do not give in to what people who have hate in their souls want to see.

[25:30–26:00]
See. There's no need for this resolution to be even considered as the community already knows that
you have to comply with policy changes due to state-mandated law. We are not here to argue that. We
are simply asking you all, the members that represent this community, to do the right thing in not
accepting this resolution. Do not give vulnerable families and students a reason to not be proud to
be part of this school district. If you are sitting on that dais thinking whether or not we want to
see this, I'm here to tell you we don't.",0,5,0
13,0:26:00,0:28:00,"[26:00–26:30]
You have already heard and seen where the community stands on the issue. Through our previous board
election, the overwhelming majority of the district doesn't want this, which is why the district
voted out its previous board president, Victor Perez. Don't let that same fate happen, that that
same fate that happened to Victor happen to you. When this body reaches the consent agenda later
tonight, I hope that there will be a brave soul sitting on that dais that will table this resolution
indefinitely. I want you to remind you all that.

[26:30–27:00]
you are the decision makers of the district. You have the control and power to take action. Be brave
and stand up for students in your district. If this resolution passes tonight, organizers like
myself who helped block walk and elect a few members sitting on this board will lose trust and
confidence in board members for not doing the right thing. Before I end, I want to also state that
abstaining is also siding with ignorance and hate. In closing, I want to send a message to students
and families that will be impacted by these harmful policies. Do not fret.

[27:00–27:30]
Know that there are members of the community that are here to support you. Your voice matters, you
matter. I encourage you all to not hide and to use your voice during these times of adversity. This
is the most crucial time to do so. Thank you and vote no. Thank you. Next is Heather Toleson,
followed by Robin Allen. Robin

[27:30–28:00]
Hello, my name is Robin Allen and I'm a resident of Katie and also a member of the Katie Pride
Board. And today I would like to read uh a statement by Sarah Perkins uh called the Katie ISD Gender
Fluidity Policy and How It Harmed My Family. I have two nonbinary children. You can't tell that
either is non binary by looking at them. You only know because both use they them. However, after
the gender fluidity policy was put into place, my high schooler was",0,5,0
14,0:28:00,0:30:00,"[28:00–28:30]
supposed to wear a badge different from the other students. The person in charge of enforcement told
us it was for kids who used preferred names. I was told my child had to wear one even though their
name was legally changed. This same child who has a gender neutral name had a substitute multiple
times who refused to use my child's first name, instead, calling them by the more feminine sounding
middle name. The policy enforcer at the school said that she could not make him use their first name
because of his First Amendment rights. Not using a child's name that their parents have signed off
on shows nothing but disrespect and no

[28:30–29:00]
student will learn anything from a teacher who doesn't respect them. After these and other
incidents, we had an open investigation with the Department of Education's Office of Civil Rights
that was only closed because of a change in administration, not on merit. For my younger child,
McMean's was amazing even before they legally changed their name. Every teacher used their chosen
name and worked hard to use their pronouns. My child felt respected and started a GSA club. I'm
telling you this now with my name being used because my family has moved to another state, a move
which cost us tens of thousands of dollars.

[29:00–29:30]
KD ISD's policies, along with state policies, made living in KD too difficult. My kids are trans,
but they're also just regular kids who deserve to be respected. We are a week and a half into school
at our new state, and my kids are thriving beyond what I even imagined. The law is the law, and you
have to follow it, but you don't have to do more than the law says. Listen to the kids who have
dropped out, the students who have gone to the news stations with their KDISD stories, and families
like mine who have left. No, we are not the only ones who moved from KDISD this summer.",0,5,0
15,0:30:00,0:32:00,"[30:00–30:30]
Treat each and every student with respect because they deserve it, whether you agree with their life
or not. Thank you. Thank you. Next is Ryan Frund, followed by Gianna Ramirez. Hello, I'm Ryan
Friend, and I'm against SB twelve resolution. A single act of kindness and support can change a life
forever. For a trans kid, that can be calling them by their preferred name.

[30:30–31:00]
Name. I know because that's my lived experience. Anytime I tried to hide who I was, it made my
mental health worse. I survived due to being able to live authentically. Once I was able to be truly
me, I was happy for the first time. My grades went up, I started excelling in extracurricular
activities, and I made life goals for the first time. If being called Ryan hadn't been possible, I
promise you my life would have ended before 18. Overcomplying with the law is an act of betrayal to
your students, their parents, and your staff. It puts kids' lives in danger and takes away
everyone's voices.

[31:00–31:30]
The law has already brought enough harm. Why add to it? We've already said time and time again that
this is harmful, yet the people in power don't listen to the mass of voices speaking up. This
resolution doesn't help anything. Trans kids exist and they have the right to live authentically.
This is an attempt at erasing our community, and we won't stand for it. You can try to take our safe
spaces, but we will make new ones, or go to ones like KDISD. You can or Katie Pride, excuse me. You
can try to quiet us, but we will come back louder. Let us be called our chosen names and pronouns.

[31:30–32:00]
And names and pronouns. Show us dignity and support by voting no. Thank you for your time. Thank
you. Next is Jana Ramirez, followed by Kelly Targak. Jana. All right, then Kelly Targak. Kenneth
Smith. We're now in the non-agenda item portion. I'm just too dumb to know what I'm doing. All
right.",0,5,0
16,0:32:00,0:34:00,"[32:00–32:30]
Um I'm also here to talk about S B twelve. Uh I wanted to start with reading a Facebook quote that
by no means is my thoughts, but I wanted to kind of give an idea what we're up against. Uh
normalizing predatory behavior in order to expect females to lay down their rights for the mental
delusion of a boy is insane. Morgan. That's on her Facebook page and is absolutely disgusting. Uh so
this is what we're up against if we're trying to get any kind of you know care for these students. I
understand that S B twelve is I I think you could put thirty five monkeys in a typewriter and get

[32:30–33:00]
Geez of the typewriter and get a better written law. With that being said, there is one thing that's
quite clear, and that is that parental rights is not supposed to be uh infringed. That includes my
right to tell you and my my kids' school what my student should be called and their pronouns. We
jumped through your hoops, we went there, told them their name, said we signed off, spoke to each
teacher, each teacher, made sure they were okay with it, made a plan for the bathroom because
apparently my predator child would pretend to be a girl to go into the bathroom and

[33:00–33:30]
Room and rape a child rape a woman except for the sign on the door. Some good critical thinking
right there. The sign on the door is what's going to stop a rapist. Right? Yeah, brilliant. This is
not okay. This is genuinely disgusting. And there is nothing in this law that says that I can't tell
you what to call my child. And not only, you are literally disobeying the law by doing this. Because
the only thing it says clearly is that I can't have my parental rights infringed. That's it.",0,5,0
17,0:34:00,0:36:00,"[34:00–34:30]
And here I am getting my parental rights infringed. Now, I think it's easy to forget that there are
movements in the past that had opposition, like slavery, women's suffrage, the treatment of Jews
during World War II, civil rights, gay rights. It's easy to forget there was opposition to those,
because those movements won. This movement will win. You will lose. The question is, are the people

[34:30–35:00]
who are enabling gonna help us or help them prolong this? Right? Because I know some of you actually
care. And you're just gonna enable if you vote yes for this. Vote no. Don't be an enabler. Let the
bigots be bigots. We will win. Thank you. Next is Amelia Smith, followed by Dave Ramiro. Hi. I'm
here to talk about KDISD's harmful policy against transgender students.

[35:00–35:30]
I have a child with gender dysphoria. I know that a lot of people don't understand exactly what this
is, so I wanted to explain it a little bit because I know it can be scary when you don't understand
what something is. Gender dysphoria is a medical condition where there is a mismatch between a
person's assigned sex and their gender identity. People with gender dysphoria experience extreme
distress due to this mismatch. There is a difference between sex and gender. Sex is assigned at
birth based on physical characteristics.

[35:30–36:00]
Gender is the internal sense of being male or female, or somewhere along the gender spectrum that is
correlated with brain structure and activity. Many factors play a role in causing gender dysphoria.
Studies have found differences in brain structure and function in people with gender dysphoria, as
well as genetic links. And my husband has multiple transgender family members. It is important to
understand that gender dysphoria is not a choice. This is not a phase.",0,5,0
18,0:36:00,0:38:00,"[36:00–36:30]
It is not a trend, and it is not predatory behavior. It is a recognized medical condition and it
should be treated as such. Gender dysphoria is not something that I wanted from my child. It's not
something that anyone would want. People with gender dysphoria are the target of significant
discrimination, prejudice, stigma, abuse, ridicule, and hatred. Can you imagine? Excuse me, can you
imagine if that was your child? Studies have shown that close to half of transgender.

[36:30–37:00]
youth seriously considered suicide in their lifetime, but it is critical to note that the only thing
that significantly reduces this risk is the support from family, from community, from friends. And
so I am asking you to please support and accept transgender children. Part of accepting and
supporting these kids is using their preferred name and pronouns. This is crucial for their mental
health. The new Texas law, SB12, is aimed directly at harming kids with gender dysphoria.

[37:00–37:30]
However, as detrimental as the law is, it does not explicitly prohibit teachers and staff from using
kids' preferred names and pronouns with parental consent. As my husband and many others have stated,
we parents have a right to choose. Please honor that. I am begging you, I am begging each one of
you, each one of you, please, as a mother, please. Please do not take away my right to do what's
right for my child. Do not contribute to the tragic suicide rate among children with gender
dysphoria.

[37:30–38:00]
Do what's right. Have compassion. Love and protect our thank you. Dave Romero, followed by Michael
Fielding. Dave Romero. And then final speaker, Michael Fielding. Oh, Michael. All right, that brings
us to the end. This concludes the open forum of portion of our meeting. The board will now convene
in closed meeting as authorized under section 551.",0,5,1
19,0:38:00,0:40:00,"[38:30–39:00]
551.001 of the Texas Government Code for the following purposes. Texas Government Code 551.071,
551.074, 551.076, and 551.129. Mr. President, uh point of personal privilege, please. Would it be
possible for us to take a board picture with all of our um Katie High School people in attendance?
Absolutely. Let's celebrate that. Yes. And thank you all for coming.

[39:00–39:30]
The board will now reconvene and open meeting tonight or today is Monday, August 25th, 2025, and the
time is 709 p.m. On behalf of my colleagues, I welcome everyone to this evening's regular board
meeting. Each board member received the agenda and documentation for this meeting on Friday, August
22nd, 2025. The board will receive information and recommendations from staff, administration, and
the superintendent on these agenda items at tonight's meeting. Board members will be able to ask
questions, receive answers, and should be prepared to take action. The board is

[39:30–40:00]
The board has just reconvened from closed meeting in accordance with Chapter 551 of the Texas
Government Code. Any action arising from discussions in a closed meeting must be taken in an open
meeting. We will now move on to presentation or item 7.1, teacher preparation and planning time
presentation and discussion. Presenter Deb Hubble, Assistant Superintendent for School Leadership.
Thank you. Good evening, President Redmond, Dr. Grigorsky, and board members. I'm here tonight
representing my team of elementary assistant superintendents.",0,5,0
20,0:40:00,0:42:00,"[40:00–40:30]
And superintendents in response to a request from the board for an update on teacher planning and
preparation. Teacher planning time plays a critical role in maintaining instructional quality and
promoting student achievement. It is not merely a contractual entitlement but a professional
necessity. Effective planning time provides educators with the space to design meaningful
instruction, assess student learning, and engage in collaborative practices that elevate overall
teaching outcomes. When planning time is disrupted or inconsistently honored,

[40:30–41:00]
Consistently honored, it undermines both instructional integrity and the broader academic goals of a
campus. Across at KDISD, many teachers voluntarily participate in collaborative team supported
planning sessions once or twice a week during their designated planning time. While not mandatory,
these sessions are an individual and voluntary professional choice aimed at fulfilling state
expectations for instructional delivery and design. Some benefits of planning time are shown here on
this slide. As you will recall, we

[41:00–41:30]
were joined by two elementary principals in March of last school year at a special board meeting
presentation on this topic. The board followed up in April with some recommended actions which were
implemented as we compiled and shared best practices in teacher planning from principal and teacher
feedback. In June, as we conducted end of the year summative conferences with our principals, we
discussed these teacher planning and preparation best practices, exploring adjustments our leaders
had planned for this school year. Through the gathering of feedback over the past three months.

[41:30–42:00]
For the past three months, we have hosted a live document for input regarding effective planning
practices. School leaders contribute to and benefit from shared ideas, noting what has been most
successful on their campuses. We wanted you to hear some examples of the feedback received. Content
teams have one collaborative planning meeting a week. Teachers use a shared document to create
lesson plans together. They have a chance to share strategies and ideas. They share resources,
create or modify tests for alignment, plan assignments for taking grades to ensure consistency.
Teams share the agenda and",0,5,0
21,0:42:00,0:44:00,"[42:30–43:00]
create it themselves based on me. My campus has a collaborative culture that values PD, PLCs, and
planning. It is an expectation throughout the campus to work together to achieve more. Planning days
are protected. Each team has dedicated time to meet together one day as a team and one day as a
content team. These planning sessions are vital to grade level consistency and alignment. One more.
One day sacred for team content planning per week where no meetings or conferences are scheduled.
Provide flexibility with

[43:00–43:30]
scheduling RDs, listen and respond to staff needs to provide additional time when needed. Use campus
PD days for long range planning. Continued open lines of communication with staff to stay abreast of
needs and plan accordingly. In summary, the following best practices have been identified and
promoted protected planning days, free from meetings, Rds, and other obligations. Extended planning
blocks, 90 minutes to half day periods are provided intermittently at some campuses through the
vision through the provision of super specials days, creative coverage, and now student hospital.

[43:30–44:00]
And now student holidays at the end of every grading period. Teacher-led collaboration. Planning is
most effective when driven by teachers themselves. Administrators, as instructional leaders, often
join the planning sessions to ensure appropriate levels of rigor and utilization of district
approved resources and to gain insight on what to expect in upcoming classroom visits. Efficient
PLCs, professional learning communities. Teacher planning sessions are most effective when staff
remain focused, when student data drives the instruction planned, and when all activities are
aligned with district's.",0,5,0
